Name
Abomination of Llanowar
Kumena's Speaker
"Kyodai, Soul of Kamigawa"
Laboratory Brute
Labyrinth Guardian
Lavabrink Venturer
Leapfrog
Leave in the Dust
Lethal Exploit
Lethal Sting
Lifecrafter's Gift
Life of Toshiro Umezawa // Memory of Toshiro
Lightning-Rig Crew
Lightning Strike
Light the Way
Live Fast
Llanowar Loamspeaker
Lone Missionary
Long Rest
Looming Altisaur
Lovestruck Beast // Heart's Desire
Lucky Offering
Lumbering Falls
Lunarch Mantle
Lurching Rotbeast
Madcap Skills
Maelstrom Nexus
Magus of the Disk
Majestic Myriarch
Make Obsolete
Makeshift Battalion
Malicious Malfunction
Mammoth Spider
Mandibular Kite
Marauder's Axe
March of Burgeoning Life
March of Reckless Joy
March of the Drowned
March of Wretched Sorrow
Martyr's Soul
Maulfist Squad
Metropolis Sprite
"Miara, Thorn of the Glade"
Michiko's Reign of Truth // Portrait of Michiko
Mighty Leap
Mind Stone
Minister of Inquiries
Mirrorshell Crab
Mist Raven
Mnemonic Sphere
Moaning Wall
Mogg Flunkies
Mogg Sentry
Momentary Blink
Monstrous Onslaught
Mortician Beetle
Mother Bear
Mothrider Patrol
Mudbutton Torchrunner
Mukotai Soulripper
Murderous Rider // Swift End
Mythos of Vadrok
Naga Oracle
Nalia de'Arnise
"Naomi, Pillar of Order"
Natural Connection
Nature's Way
Navigator's Ruin
Nef-Crop Entangler
Nest Robber
Nevinyrral's Disk
Nezumi Bladeblesser
Nezumi Prowler
Nightmare Unmaking
Night Market Lookout
Nihiloor
Nimble-Blade Khenra
Nimble Innovator
Ninja's Kunai
Nissa's Defeat
"Norika Yamazaki, the Poet"
Oashra Cultivator
Oasis Ritualist
Offspring's Revenge
Ogre Errant
Ogre-Head Helm
Oketra's Attendant
Oketra's Avenger
Olivia's Bloodsworn
Omenspeaker
One with the Kami
Ongoing Investigation
Onward // Victory
Orcish Hellraiser
Orcish Vandal
Ornery Dilophosaur
Orochi Merge-Keeper
Orzhov Guildgate
Orzhov Guildgate
Otepec Huntmaster
Outland Boar
Ovalchase Daredevil
Pacifism
Pacifism
Papercraft Decoy
Paranoid Parish-Blade
Pathmaker Initiate
Path of Peace
Pawpatch Formation
Peema Outrider
Peerless Samurai
Perilous Vault
Phyrexian Rebirth
Pillory of the Sleepless
Pin to the Earth
Pitfall Trap
Pit Keeper
Plague Boiler
Plague Wight
Plummet
Porcuparrot
Pounce
Prakhata Club Security
Pressure Point
Primal Command
Primeval Bounty
Prismite
Prodigy's Prototype
Prophetic Prism
Prosperous Pirates
Providence
Prowling Caracal
Psychic Symbiont
Pull from Tomorrow
Pyrewild Shaman
Pyromancy
Quakefoot Cyclops
Quarry Colossus
Quarry Hauler
Queen's Agent
Queen's Commission
Rabbit Battery
"Radha, Coalition Warlord"
Raging Regisaur
Raise Dead
"Raiyuu, Storm's Edge"
Rakdos Guildgate
Rallying Roar
Rampaging Hippo
Ranger's Path
Rank Officer
Refurbish
Reinforced Ronin
Reito Sentinel
"Rem Karolus, Stalwart Slayer"
Reservoir Walker
Resourceful Return
Reverse Engineer
Rhet-Crop Spearmaster
Rhox Oracle
Riddleform
Ridgescale Tusker
Rigging Runner
Rile
Riparian Tiger
"Risona, Asari Commander"
Ritual of Rejuvenation
River Herald Guide
River Serpent
Roadside Reliquary
Roaring Earth
Rolling Thunder
Rosethorn Acolyte // Seasonal Ritual
Rout
Rubblebelt Recluse
Rubble Slinger
Run Aground
Runewing
Rupture Spire
Rupture Spire
Sacred Excavation
Saddled Rimestag
Sage's Row Denizen
Saheeli's Silverwing
Sailor of Means
Salivating Gremlins
Sanctuary Raptor
Sandblast
Satoru Umezawa
"Satsuki, the Living Lore"
Savage Smash
Savage Ventmaw
Scarab Feast
Scorched Rusalka
Scoured Barrens
Scoured Barrens
Scourge of Fleets
Scribe of the Mindful
Scrounger of Souls
Scrounging Bandar
Sculpted Sunburst
Sea God's Revenge
Season of Renewal
Sedraxis Specter
Seer's Sundial
Seismic Wave
Select for Inspection
Selesnya Charm
Selesnya Locket
Selesnya Signet
Selfless Samurai
Senate Courier
"Sengir, the Dark Baron"
Sengir Vampire
Sensor Splicer
Sentinel Spider
Seraph of Dawn
Seraph of the Suns
Serene Steward
Serra Angel
Settle the Score
Seven-Tail Mentor
Shadowstorm Vizier
Shaper Apprentice
Sharding Sphinx
Sharuum the Hegemon
Shimmer Dragon
Shimmerscale Drake
Shinechaser
Shining Aerosaur
Shipwreck Moray
Short Bow
Shrine Steward
Sidisi's Faithful
Siegecraft
Sifter Wurm
Sigiled Starfish
Signpost Scarecrow
Silkweaver Elite
Silverback Shaman
Silver-Fur Master
Simian Sling
Simic Guildgate
Siren Lookout
Siren's Ruse
Skewer the Critics
Skirsdag Cultist
Skirsdag Supplicant
Sky-Blessed Samurai
Skyfire Phoenix
Skyknight Legionnaire
Skymarch Bloodletter
Skyrider Patrol
Skyshroud Cutter
Sky Skiff
Skyswimmer Koi
Sky Terror
Slime Molding
Sokenzan Smelter
Solarion
Soulmender
Soul Ransom
Soulstinger
Soul Transfer
Spellpyre Phoenix
Spellweaver Eternal
Spidery Grasp
Spined Megalodon
Spinehorn Minotaur
Spinning Wheel Kick
Spirit-Sister's Call
Spontaneous Artist
Spring-Leaf Avenger
Spring // Mind
Squad Captain
Staff of the Sun Magus
Standing Troops
Stitchwing Skaab
Stoneforge Acolyte
Stony Strength
Storm Fleet Pyromancer
Storm Fleet Swashbuckler
Stormfront Pegasus
Storyweave
Strategic Planning
Stream of Thought
"Strefan, Maurer Progenitor"
Strength in Numbers
Subtle Strike
Sumala Woodshaper
Sunblade Samurai
Sunblast Angel
Sun-Crested Pterodon
Sundering Growth
Sundering Growth
Sunlance
Sun Titan
Swirling Torrent
Sylvan Ranger
Syndicate Guildmage
"Syr Alin, the Lion's Claw"
Tah-Crop Elite
Tah-Crop Skirmisher
Take Down
Talon Trooper
"Tameshi, Reality Architect"
Taste of Death
"Tatsunari, Toad Rider"
Tattered Mummy
"Tatyova, Benthic Druid"
Tectonic Reformation
Teleportal
Terminus
Tezzeret's Ambition
Tezzeret's Touch
The Cauldron of Eternity
The Dragon-Kami Reborn // Dragon-Kami's Egg
The Fall of Lord Konda // Fragment of Konda
The Kenriths' Royal Funeral
The Restoration of Eiganjo // Architect of Restoration
Thieves' Tools
Thornhide Wolves
Thriving Bluff
Thriving Grubs
Thriving Heath
Thriving Rhino
Thriving Turtle
Thunderherd Migration
Thundering Mightmare
Thundering Raiju
Thunderous Wrath
Tilonalli's Knight
Time Ebb
"Timothar, Baron of Bats"
Tishana's Wayfinder
Titania's Command
Titanic Growth
Tournament Grounds
Trail of Mystery
Transguild Promenade
Treefolk Umbra
Trial of Knowledge
Tribute to Horobi // Echo of Death's Wail
Trueheart Duelist
Trueheart Twins
Trusty Packbeast
Tuinvale Treefolk // Oaken Boon
Tumble Magnet
Twinshot Sniper
Twisted Embrace
Ulvenwald Captive // Ulvenwald Abomination
"Umori, the Collector"
Unbridled Growth
Unburden
Unconventional Tactics
Unforgiving One
Unlicensed Disintegration
Unquenchable Thirst
Untamed Hunger
Unwavering Initiate
Upriser Renegade
Urza's Armor
"Valduk, Keeper of the Flame"
Vampire Aristocrat
Venomous Changeling
Vessel of Nascency
Veteran Motorist
Veteran Warleader
Vial of Poison
Vizier of Tumbling Sands
Void Snare
Volcanic Vision
Voltaic Brawler
Vorapede
Vorel of the Hull Clade
Vorstclaw
Walking Skyscraper
Wall of Frost
Wall of Runes
Wanderer's Intervention
Warden of the Woods
Wasteland Scorpion
Watcher in the Mist
Watchful Giant
Wayward Giant
Wayward Servant
Webspinner Cuff
Webweaver Changeling
Weldfast Engineer
Welding Sparks
When We Were Young
Whiskervale Forerunner
Whisperwood Elemental
White Dragon
White Knight
Wildsize
Wild Wanderer
Wildwood Tracker
Willbender
Wily Bandar
Wily Goblin
Windcaller Aven
Wind Drake
Wind-Scarred Crag
Winds of Rath
Wind Strider
Wingcrafter
Wingmate Roc
Winter's Rest
Without Weakness
Wojek Bodyguard
Woolly Thoctar
Xathrid Necromancer
"Yarus, Roar of the Old Gods"
You Find the Villains' Lair
Youthful Knight
"Zaxara, the Exemplary"
Zenith Flare
Zhur-Taa Druid
